Student_ID,Age,Gender,State,Branch,College_Tier,CGPA,Attendance_Percentage,DSA_Problems_Solved,Aptitude_Score,Communication_Score,Projects_Count,Internships_Count,Certifications_Count,Open_Source_Contributions,GitHub_Contributions,LinkedIn_Activity_Score,Hackathons_Participated,Competitive_Programming_Rating,Study_Hours_Per_Week,Soft_Skills_Score,Leadership_Experience,Extracurricular_Activities,Placement_Status,Package_LPA
ST00001,22,Male,Tamil Nadu,Mechanical,Tier-3,6.25,67.07,54,25,76,4,1,3,28,129,56,2,632,11,62,No,2,Not Placed,0
ST00002,21,Male,Uttar Pradesh,Mechanical,Tier-3,7.53,87.69,115,49,23,2,0,1,39,221,0,1,697,9,39,No,4,Not Placed,0
ST00003,23,Male,Jharkhand,IT,Tier-3,7.9,82.78,268,47,57,3,3,4,220,796,36,5,1850,41,55,No,1,Placed,6.87
ST00004,22,Female,Maharashtra,CSE,Tier-3,7,67.11,163,27,56,5,2,4,131,1077,47,2,1236,34,60,Yes,2,Placed,10.47
ST00005,19,Male,Maharashtra,AIML,Tier-2,6.23,78.93,221,24,63,2,0,2,123,442,42,4,1314,14,61,No,2,Placed,9.17
ST00006,25,Male,Uttar Pradesh,IT,Tier-3,6.61,73.82,206,23,64,1,0,5,181,962,44,2,1252,10,66,No,1,Not Placed,0
ST00007,22,Male,Karnataka,EEE,Tier-2,7.84,82.78,182,38,60,3,1,1,63,352,35,4,727,12,65,No,0,Not Placed,0
ST00008,22,Female,Gujarat,CSE,Tier-3,7.32,79.99,212,44,56,3,0,4,45,505,30,1,1474,7,61,No,2,Not Placed,0
ST00009,19,Male,Uttar Pradesh,Mechanical,Tier-2,6.5,60.64,210,23,39,3,0,1,51,282,13,2,764,5,46,Yes,3,Not Placed,0
ST00010,21,Male,Haryana,AIML,Tier-3,6.94,76.1,159,28,37,7,2,7,98,1398,15,2,1616,15,49,No,2,Not Placed,0
ST00011,21,Male,Rajasthan,Mechanical,Tier-2,8.16,75.62,152,63,51,5,4,3,39,316,21,1,521,30,46,No,4,Placed,9.62
ST00012,24,Male,Telangana,Chemical,Tier-3,7.52,87.59,83,38,66,6,2,3,58,292,62,2,674,14,59,Yes,3,Not Placed,0
ST00013,22,Female,Haryana,CSE,Tier-2,6.61,64.57,262,44,63,2,0,5,79,376,44,5,1486,15,54,No,1,Placed,6.92
ST00014,23,Female,Maharashtra,Civil,Tier-2,7.72,79.65,141,44,59,2,1,0,32,459,17,0,705,16,50,No,0,Placed,2.23
ST00015,21,Male,Delhi,Mechanical,Tier-3,6.87,63.41,63,35,11,6,3,3,26,105,39,1,449,24,24,No,5,Not Placed,0
ST00016,20,Female,Delhi,Civil,Tier-2,6.95,87.38,118,49,34,2,1,2,45,217,18,1,798,22,39,No,2,Placed,2.27
ST00017,21,Male,Karnataka,IT,Tier-3,7.46,77.86,205,36,54,4,2,1,46,555,56,1,1595,20,54,No,1,Placed,10.07
ST00018,19,Female,Maharashtra,Civil,Tier-3,6.42,66.81,107,35,41,3,2,0,35,226,16,2,641,22,41,No,3,Not Placed,0
ST00019,23,Male,Andhra Pradesh,ECE,Tier-3,6.98,82.4,55,20,45,3,1,2,21,161,12,2,242,10,43,No,1,Not Placed,0
ST00020,22,Male,Telangana,CSE,Tier-3,8.24,88.71,215,29,62,5,1,1,102,1294,41,5,1799,16,60,No,4,Placed,9.45
ST00021,22,Female,West Bengal,Chemical,Tier-2,9.6,83.53,170,38,57,6,4,4,76,285,31,2,577,33,56,Yes,4,Placed,8.81
ST00022,21,Female,Karnataka,Chemical,Tier-3,5.89,67.43,136,13,27,3,0,2,44,389,3,1,646,13,33,No,1,Not Placed,0
ST00023,25,Female,Karnataka,CSE,Tier-3,6.6,62.93,139,52,41,3,1,4,105,470,8,2,1199,18,40,No,5,Placed,7.48
ST00024,23,Female,Chhattisgarh,ECE,Tier-1,8.71,70.75,217,37,68,2,1,3,67,378,67,2,589,30,59,No,2,Placed,11.01
ST00025,22,Female,Maharashtra,Chemical,Tier-3,6.28,61.02,51,29,61,2,2,2,14,117,36,3,389,14,51,No,1,Not Placed,0
ST00026,20,Female,Assam,ECE,Tier-1,7.64,82.35,170,51,53,5,1,5,56,328,0,3,922,23,52,Yes,4,Placed,6.15
ST00027,21,Male,Gujarat,ECE,Tier-2,9.03,87.13,140,68,69,6,1,5,36,265,37,3,645,31,57,No,3,Placed,9.29
